time,cars,bikes
0,0,0
1,0,0
2,0,0
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,2
22,1,2
23,1,2
24,1,2
25,1,2
26,1,2
27,1,2
28,1,2
29,1,2
30,1,2
31,1,2
32,1,2
33,1,2
34,1,3
35,1,3
36,1,3
37,1,3
38,1,3
39,1,3
40,1,3
41,1,3
42,1,3
43,1,3
44,1,3
45,2,4
46,2,4
47,2,4
48,2,4
49,2,4
50,2,4
51,2,4
52,2,4
53,2,4
54,2,3
55,2,3
56,2,3
57,2,3
58,2,4
59,2,4
60,2,4
61,2,4
62,2,4
63,2,4
64,2,4
65,3,4
66,3,4
67,3,4
68,3,4
69,3,4
70,3,4
71,3,4
72,3,4
73,3,4
74,3,4
75,3,3
76,3,3
77,3,3
78,3,3
79,3,3
80,3,3
81,3,3
82,3,2
83,3,2
84,3,2
85,4,2
86,3,2
87,3,3
88,3,3
89,3,3
90,3,3
91,3,3
92,3,3
93,3,3
94,3,3
95,3,3
96,3,3
97,3,3
98,3,3
99,3,2
100,4,2
101,4,2
102,4,2
103,4,2
104,4,2
105,4,2
106,4,2
107,3,2
108,3,3
109,3,3
110,3,3
111,3,3
112,3,3
113,3,3
114,3,3
115,3,3
116,3,3
117,3,3
118,3,3
119,3,3
120,4,3
121,4,3
122,4,3
123,4,3
124,4,3
125,4,3
126,4,3
127,3,4
128,3,4
129,3,4
130,3,4
131,3,3
132,4,3
133,4,3
134,4,4
135,4,4
136,4,4
137,4,4
138,4,4
139,4,4
140,4,4
141,4,4
142,4,4
143,4,4
144,4,4
145,4,4
146,4,4
147,4,4
148,4,4
149,4,4
150,4,4
151,4,4
152,4,4
153,4,4
154,4,4
155,4,4
156,4,4
157,4,4
158,4,4
159,4,4
160,4,4
161,4,4
162,4,4
163,4,4
164,4,4
165,4,4
166,4,4
167,4,4
168,4,3
169,4,3
170,4,3
171,4,2
172,4,2
173,4,2
174,4,2
175,4,3
176,4,3
177,4,3
178,4,3
179,4,3
180,4,3
181,4,3
182,4,3
183,4,3
184,4,3
185,4,3
186,4,3
187,4,3
188,4,3
189,4,3
190,4,3
191,4,3
192,4,4
193,4,4
194,4,4
195,4,4
196,4,4
197,4,4
198,3,4
199,2,4
200,2,4
201,2,4
202,2,4
203,2,4
204,3,4
205,3,4
206,3,4
207,3,4
208,3,4
209,3,4
210,3,4
211,3,4
212,3,3
213,3,3
214,3,3
215,3,3
216,3,3
217,3,3
218,3,4
219,3,4
220,3,4
221,3,4
222,3,3
223,3,3
224,3,3
225,3,3
226,3,3
227,3,3
228,3,3
229,3,3
230,3,3
231,3,3
232,3,3
233,3,3
234,3,3
235,3,3
236,3,3
237,3,4
238,3,4
239,2,4
240,2,4
241,2,4
242,2,4
243,2,4
244,2,4
245,2,3
246,2,3
247,2,3
248,2,3
249,2,3
250,2,3
251,2,3
252,2,3
253,2,4
254,2,4
255,2,4
256,3,4
257,3,4
258,3,4
259,3,4
260,3,4
261,3,4
262,3,3
263,3,2
264,3,2
265,3,2
266,3,2
267,3,2
268,3,2
269,3,2
270,3,2
271,3,2
272,3,2
273,3,2
274,3,2
275,3,2
276,3,2
277,3,2
278,3,2
279,3,2
280,3,2
281,3,2
282,3,2
283,3,2
284,3,2
285,3,2
286,3,2
287,3,2
288,3,2
289,3,2
290,4,1
291,4,1
292,4,1
293,4,1
294,4,1
295,4,1
296,4,2
297,4,1
298,4,1
299,4,1
300,4,1
301,4,1
302,4,1
303,3,1
304,3,1
305,3,1
306,3,1
307,3,1
308,3,1
309,3,1
310,3,1
311,3,1
312,4,1
313,4,1
314,4,1
315,4,1
316,4,1
317,4,1
318,4,1
319,4,1
320,4,1
321,4,1
322,4,1
323,4,1
324,4,1
325,3,1
326,3,1
327,2,2
328,2,2
329,2,2
330,2,2
331,2,2
332,2,2
333,2,2
334,2,2
335,2,2
336,2,2
337,2,2
338,2,1
339,3,2
340,3,2
341,3,2
342,3,2
343,3,2
344,3,2
345,3,2
346,3,2
347,3,2
348,3,2
349,3,2
350,3,2
351,3,2
352,3,2
353,3,2
354,3,3
355,3,3
356,3,3
357,3,3
358,3,3
359,3,3
360,3,3
361,3,3
362,3,4
363,3,4
364,3,4
365,3,4
366,3,4
367,2,4
368,2,4
369,2,4
370,2,4
371,2,4
372,2,4
373,2,4
374,2,4
375,2,4
376,2,4
377,2,3
378,2,3
379,2,3
380,2,3
381,2,3
382,2,3
383,2,3
384,2,3
385,2,2
386,3,2
387,3,2
388,3,2
389,3,2
390,3,2
391,3,2
392,3,2
393,3,3
394,3,3
395,3,3
396,2,3
397,2,3
398,2,3
399,2,3
400,2,3
401,2,3
402,2,3
403,2,3
404,2,3
405,2,2
406,2,2
407,2,2
408,2,2
409,2,3
410,2,3
411,2,3
412,2,3
413,2,3
414,3,3
415,3,3
416,3,3
417,3,3
418,3,4
419,3,4
420,3,4
421,3,4
422,3,4
423,3,4
424,3,4
425,3,4
426,3,3
427,3,3
428,3,3
429,3,3
430,3,3
431,3,3
432,3,4
433,3,4
434,3,4
435,3,4
436,3,4
437,3,4
438,3,4
439,4,4
440,3,4
441,3,4
442,3,4
443,2,4
444,2,4
445,2,4
446,2,4
447,2,4
448,2,4
449,2,4
450,2,4
451,2,4
452,2,4
453,2,4
454,2,4
455,2,4
456,2,4
457,2,4
458,2,4
459,2,4
460,2,4
461,2,4
462,2,4
463,2,4
464,2,4
465,2,4
466,2,4
467,2,4
468,2,4
469,3,4
470,3,4
471,3,4
472,3,4
473,3,4
474,3,3
475,3,3
476,3,3
477,3,4
478,3,4
479,3,4
480,3,4
481,3,4
482,3,4
483,3,4
484,3,4
485,3,4
486,3,4
487,3,4
488,2,4
489,2,4
490,2,4
491,2,4
492,2,3
493,2,3
494,2,3
495,2,4
496,3,4
497,3,4
498,3,4
499,3,4
500,3,4
501,3,4
502,3,4
503,3,4
504,3,4
505,3,4
506,3,4
507,3,3
508,3,3
509,3,3
510,3,3
511,3,3
512,3,3
513,3,3
514,3,3
515,3,3
516,3,3
517,3,3
518,3,3
519,3,2
520,3,2
521,3,2
522,3,2
523,2,2
524,2,2
525,2,3
526,3,3
527,3,3
528,3,3
529,3,3
530,3,4
531,3,4
532,3,4
533,3,4
534,3,3
535,3,3
536,3,3
537,3,3
538,3,3
539,3,3
540,3,3
541,3,3
542,3,3
543,3,3
544,3,3
545,3,3
546,3,3
547,2,3
548,2,3
549,2,2
550,2,2
551,2,2
552,2,2
553,2,2
554,2,2
555,2,2
556,2,2
557,2,2
558,3,3
559,3,3
560,3,3
561,3,3
562,3,3
563,3,3
564,3,3
565,3,3
566,3,3
567,3,3
568,3,3
569,3,3
570,3,3
