time,cars,bikes
0,0,0
1,0,0
2,0,0
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,2
28,1,2
29,1,2
30,1,2
31,1,2
32,1,2
33,1,3
34,1,3
35,1,3
36,1,3
37,1,3
38,1,3
39,1,3
40,1,3
41,1,3
42,1,2
43,1,2
44,1,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,3
57,2,3
58,2,3
59,2,3
60,3,3
61,3,3
62,3,3
63,3,3
64,3,3
65,3,3
66,3,3
67,3,3
68,3,3
69,3,3
70,3,3
71,3,2
72,3,2
73,3,2
74,3,2
75,3,2
76,3,2
77,4,2
78,4,2
79,4,2
80,4,2
81,4,2
82,4,2
83,4,2
84,4,2
85,4,2
86,4,2
87,4,2
88,4,2
89,4,2
90,4,2
91,4,2
92,4,2
93,4,1
94,4,1
95,3,1
96,3,1
97,3,1
98,3,1
99,3,1
100,3,1
101,3,1
102,3,1
103,3,1
104,3,1
105,3,1
106,3,1
107,3,1
108,3,1
109,3,1
110,3,1
111,3,1
112,3,1
113,3,1
114,3,2
115,3,2
116,3,2
117,3,2
118,3,2
119,3,2
120,3,2
121,3,2
122,4,2
123,4,2
124,4,2
125,4,2
126,3,2
127,3,2
128,3,2
129,3,2
130,3,2
131,3,2
132,3,2
133,3,2
134,3,2
135,4,2
136,3,2
137,3,2
138,3,2
139,3,2
140,3,2
141,4,2
142,4,2
143,4,2
144,4,2
145,4,2
146,4,1
147,4,1
148,4,1
149,4,1
150,4,1
151,4,1
152,4,1
153,4,1
154,5,0
155,5,0
156,5,0
157,5,0
158,5,0
159,5,0
160,5,0
161,5,0
162,5,0
163,5,0
164,5,0
165,5,0
166,5,0
167,5,0
168,4,0
169,4,0
170,4,0
171,4,0
172,4,0
173,4,1
174,4,1
175,4,2
176,4,2
177,4,2
178,4,2
179,4,2
180,4,2
181,4,2
182,4,3
183,4,3
184,4,3
185,5,3
186,5,3
187,5,3
188,5,3
189,5,3
190,5,3
191,5,3
192,5,3
193,5,3
194,5,3
195,5,3
196,5,3
197,5,3
198,5,3
199,5,3
200,5,3
201,5,3
202,5,3
203,5,3
204,5,3
205,5,3
206,5,3
207,5,3
208,5,3
209,5,3
210,5,3
211,5,3
212,5,2
213,5,3
214,5,3
215,5,3
216,5,3
217,5,3
218,5,3
219,5,3
220,5,3
221,4,3
222,4,3
223,4,3
224,4,3
225,4,3
226,4,3
227,4,3
228,4,1
229,4,1
230,4,1
231,4,1
232,4,2
233,4,2
234,4,2
235,5,2
236,5,2
237,5,2
238,5,2
239,5,2
240,5,2
241,5,2
242,5,2
243,5,2
244,5,2
245,4,2
246,4,2
247,4,2
248,4,2
249,4,2
250,4,2
251,4,2
252,4,2
253,4,2
254,3,2
255,3,2
256,3,2
257,3,2
258,3,1
259,3,1
260,3,1
261,3,1
262,3,1
263,3,1
264,4,1
265,4,1
266,4,1
267,4,1
268,4,0
269,4,0
270,4,0
271,4,0
272,4,0
273,4,0
274,4,0
275,4,0
276,4,0
277,4,0
278,4,0
279,4,0
280,4,0
281,3,0
282,3,0
283,3,0
284,3,0
285,3,0
286,4,0
287,4,0
288,4,0
289,4,0
290,4,0
291,4,0
292,4,0
293,4,0
294,4,0
295,4,0
296,4,0
297,4,0
298,4,0
299,4,0
300,4,0
301,4,0
302,3,0
303,3,0
304,3,0
305,3,0
306,3,0
307,3,0
308,3,0
309,3,0
310,3,0
311,3,0
312,3,0
313,3,0
314,3,0
315,3,0
316,3,0
317,3,0
318,2,0
319,3,0
320,3,0
321,3,0
322,3,0
323,3,0
324,3,0
325,3,0
326,3,0
327,3,0
328,3,0
329,3,0
330,3,0
331,4,0
332,4,0
333,4,0
334,4,0
335,4,0
336,4,0
337,4,0
338,4,0
339,4,0
340,4,0
341,4,0
342,4,0
343,4,0
344,4,1
345,4,1
346,4,1
347,4,1
348,4,1
349,4,1
350,5,1
351,5,1
352,5,1
353,5,1
354,5,1
355,5,1
356,5,1
357,5,1
358,5,1
359,5,1
360,5,1
361,5,1
362,5,1
363,5,1
364,5,1
365,5,1
366,5,1
367,5,1
368,5,1
369,5,1
370,5,1
371,5,2
372,5,2
373,5,2
374,5,2
375,5,2
376,5,2
377,5,2
378,4,2
379,4,2
380,4,2
381,4,1
382,4,1
383,4,1
384,4,2
385,4,2
386,3,2
387,3,2
388,3,2
389,4,2
390,4,2
391,4,2
392,4,2
393,4,2
394,4,2
395,4,2
396,4,2
397,4,2
398,4,3
399,4,3
400,4,3
401,4,3
402,5,3
403,5,3
404,5,3
405,5,3
406,5,3
407,5,3
408,5,3
409,5,3
410,5,3
411,5,3
412,5,3
413,5,3
414,5,3
415,5,3
416,5,3
417,5,3
418,5,3
419,5,3
420,5,2
421,5,2
422,5,2
423,5,2
424,5,2
425,5,3
426,5,3
427,5,3
428,5,3
429,5,3
430,5,3
431,5,3
432,5,3
433,5,3
434,5,3
435,5,3
436,5,3
437,5,3
438,5,3
439,5,2
440,5,3
441,5,3
442,5,3
443,5,3
444,5,3
445,5,3
446,5,3
447,5,3
448,5,3
449,5,3
450,5,3
451,5,3
452,4,3
453,4,3
454,4,3
455,4,3
456,4,3
457,4,3
458,4,3
459,4,3
460,4,3
461,4,3
462,4,2
463,4,2
464,4,2
465,4,2
466,4,2
467,4,2
468,4,2
469,4,2
470,4,2
471,4,2
472,4,2
473,4,2
474,4,3
475,4,3
476,4,2
477,4,2
478,4,2
479,4,2
480,4,2
481,4,2
482,4,2
483,4,2
484,4,2
485,4,2
486,4,2
487,4,2
488,4,2
489,4,1
490,4,1
491,4,1
492,4,1
493,4,1
494,4,1
495,4,1
496,4,1
497,4,1
498,5,1
499,5,1
500,5,1
501,5,1
502,5,1
503,5,1
504,5,1
505,5,1
506,5,1
507,5,2
508,5,2
509,5,2
510,5,2
511,5,2
512,5,3
513,5,3
514,5,3
515,5,3
516,5,3
517,5,3
518,5,3
519,5,3
520,5,3
521,5,2
522,5,2
523,5,2
524,5,2
525,5,2
526,5,2
527,5,2
528,5,2
529,5,2
530,5,2
531,5,2
532,5,2
533,4,2
534,4,2
535,4,2
536,4,2
537,4,2
538,4,2
539,4,2
540,4,2
541,4,2
542,4,2
543,4,2
544,4,2
545,4,2
546,4,2
547,3,2
548,3,2
549,3,1
550,3,1
551,3,1
552,3,1
553,3,1
554,3,1
555,3,1
556,3,1
557,3,1
558,3,1
559,3,1
560,3,1
561,3,1
562,3,1
563,4,1
564,4,1
565,4,1
566,4,1
567,4,0
568,4,0
569,4,0
570,4,0
